Algorithm: MVA
Ni for Peticion 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Servidor_CES) 	Residence time (Servidor_CES) 	Utilization (Servidor_CES)
5.0	 Peticion	 4.882721957019927	 1.0	 4.882721957019927	 4.882721957019927	 0.024018988591283777	 0.10741988305443839
14.0	 Peticion	 13.590272519521143	 1.0	 13.590272519521143	 13.590272519521143	 0.03014858457697017	 0.29898599542946513
23.0	 Peticion	 22.115338695655023	 1.0	 22.115338695655023	 22.115338695655023	 0.040002159429680564	 0.48653745130441045
32.0	 Peticion	 30.25854163073645	 1.0	 30.25854163073645	 30.25854163073645	 0.05755262069519521	 0.6656879158762018
41.0	 Peticion	 37.52156025824669	 1.0	 37.52156025824669	 37.52156025824669	 0.09270509322673509	 0.8254743256814271
50.0	 Peticion	 42.80769152699022	 1.0	 42.80769152699022	 42.80769152699022	 0.16801439686312072	 0.9417692135937847
59.0	 Peticion	 45.072882677338136	 1.0	 45.072882677338136	 45.072882677338136	 0.30899104950445466	 0.9916034189014389
69.0	 Peticion	 45.443152501128765	 1.0	 45.443152501128765	 45.443152501128765	 0.5183805744613804	 0.9997493550248328
78.0	 Peticion	 45.45440291312494	 1.0	 45.45440291312494	 45.45440291312494	 0.7160053812405824	 0.9999968640887485
87.0	 Peticion	 45.454544820200894	 1.0	 45.454544820200894	 45.454544820200894	 0.9140000267109811	 0.9999999860444196
96.0	 Peticion	 45.45454545342867	 1.0	 45.45454545342867	 45.45454545342867	 1.1120000000518904	 0.9999999999754308
105.0	 Peticion	 45.45454545454461	 1.0	 45.45454545454461	 45.45454545454461	 1.310000000000043	 0.9999999999999813
114.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 1.508	 0.9999999999999999
123.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 1.706	 0.9999999999999999
132.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 1.904	 0.9999999999999999
141.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 2.102	 0.9999999999999999
150.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 2.3	 1.0
159.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 2.4979999999999998	 1.0
168.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 2.6959999999999997	 1.0
178.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 2.9160000000000004	 0.9999999999999999
187.0	 Peticion	 45.454545454545446	 1.0	 45.454545454545446	 45.454545454545446	 3.1140000000000003	 0.9999999999999998
196.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 3.3119999999999994	 1.0
205.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 3.5099999999999993	 0.9999999999999999
214.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 3.7079999999999993	 1.0
223.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 3.9059999999999997	 1.0
232.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 4.103999999999999	 1.0
241.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 4.302	 1.0
250.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 4.499999999999999	 1.0
259.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 4.6979999999999995	 1.0
268.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 4.896	 0.9999999999999999
277.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 5.093999999999999	 1.0
287.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 5.313999999999999	 1.0
296.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 5.512	 1.0
305.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 5.709999999999999	 1.0
314.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 5.908	 0.9999999999999999
323.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 6.106	 0.9999999999999999
332.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 6.304	 0.9999999999999999
341.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 6.502	 0.9999999999999999
350.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 6.7	 0.9999999999999999
359.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 6.898	 0.9999999999999999
368.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 7.096	 0.9999999999999999
377.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 7.294	 0.9999999999999999
386.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 7.492	 0.9999999999999999
396.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 7.712	 0.9999999999999999
405.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 7.910000000000001	 0.9999999999999999
414.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 8.108	 0.9999999999999999
423.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 8.306	 1.0
432.0	 Peticion	 45.45454545454545	 1.0	 45.45454545454545	 45.45454545454545	 8.504	 0.9999999999999999
441.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 8.701999999999998	 1.0
450.0	 Peticion	 45.45454545454546	 1.0	 45.45454545454546	 45.45454545454546	 8.899999999999999	 1.0
