Algorithm: MVA
D for Peticion at Servidor_CES [s] 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Servidor_CES) 	Residence time (Servidor_CES) 	Utilization (Servidor_CES)
0.022	 Peticion	 36.786132126057495	 1.0	 36.786132126057495	 36.786132126057495	 0.0873662896367938	 0.8092949067732649
0.0361	 Peticion	 27.54054898988605	 1.0	 27.54054898988605	 27.54054898988605	 0.4524038723661441	 0.9942138185348864
0.0502	 Peticion	 19.919807951845872	 1.0	 19.919807951845872	 19.919807951845872	 1.0080514880814095	 0.9999743591826628
0.0643	 Peticion	 15.55209795758998	 1.0	 15.55209795758998	 15.55209795758998	 1.5720002606129784	 0.9999998986730357
0.0784	 Peticion	 12.755102033196836	 1.0	 12.755102033196836	 12.755102033196836	 2.136000001873346	 0.999999999402632
0.0925	 Peticion	 10.81081081075035	 1.0	 10.81081081075035	 10.81081081075035	 2.7000000000206925	 0.9999999999944074
0.10659999999999999	 Peticion	 9.380863039398871	 1.0	 9.380863039398871	 9.380863039398871	 3.2640000000003417	 0.9999999999999196
0.1207	 Peticion	 8.285004142502057	 1.0	 8.285004142502057	 8.285004142502057	 3.8280000000000087	 0.9999999999999983
0.13479999999999998	 Peticion	 7.418397626112761	 1.0	 7.418397626112761	 7.418397626112761	 4.391999999999999	 1.0
0.14889999999999998	 Peticion	 6.715916722632641	 1.0	 6.715916722632641	 6.715916722632641	 4.955999999999999	 1.0
0.16299999999999998	 Peticion	 6.134969325153374	 1.0	 6.134969325153374	 6.134969325153374	 5.52	 0.9999999999999999
0.17709999999999998	 Peticion	 5.646527385657821	 1.0	 5.646527385657821	 5.646527385657821	 6.084	 1.0
0.19119999999999998	 Peticion	 5.230125523012553	 1.0	 5.230125523012553	 5.230125523012553	 6.647999999999999	 1.0000000000000002
0.20529999999999998	 Peticion	 4.870920603994155	 1.0	 4.870920603994155	 4.870920603994155	 7.211999999999999	 1.0
0.21939999999999998	 Peticion	 4.55788514129444	 1.0	 4.55788514129444	 4.55788514129444	 7.775999999999999	 1.0
0.23349999999999999	 Peticion	 4.282655246252678	 1.0	 4.282655246252678	 4.282655246252678	 8.339999999999998	 1.0000000000000002
0.2476	 Peticion	 4.0387722132471735	 1.0	 4.0387722132471735	 4.0387722132471735	 8.903999999999998	 1.0
0.2617	 Peticion	 3.8211692777990067	 1.0	 3.8211692777990067	 3.8211692777990067	 9.468	 1.0
0.27579999999999993	 Peticion	 3.6258158085569265	 1.0	 3.6258158085569265	 3.6258158085569265	 10.031999999999996	 1.0
0.2899	 Peticion	 3.4494653328734053	 1.0	 3.4494653328734053	 3.4494653328734053	 10.595999999999998	 1.0000000000000002
0.304	 Peticion	 3.289473684210526	 1.0	 3.289473684210526	 3.289473684210526	 11.16	 0.9999999999999999
