Algorithm: MVA
D for Peticion at Servidor_CES [s] 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Servidor_CES) 	Residence time (Servidor_CES) 	Utilization (Servidor_CES)
0.022	 Peticion	 45.45449885545782	 1.0	 45.45449885545782	 45.45449885545782	 0.760001804318523	 0.999998974820072
0.0361	 Peticion	 27.70083102493074	 1.0	 27.70083102493074	 27.70083102493074	 1.888000000000001	 0.9999999999999997
0.0502	 Peticion	 19.9203187250996	 1.0	 19.9203187250996	 19.9203187250996	 3.016	 1.0
0.0643	 Peticion	 15.552099533437016	 1.0	 15.552099533437016	 15.552099533437016	 4.143999999999999	 1.0
0.0784	 Peticion	 12.755102040816325	 1.0	 12.755102040816325	 12.755102040816325	 5.272	 0.9999999999999999
0.0925	 Peticion	 10.81081081081081	 1.0	 10.81081081081081	 10.81081081081081	 6.4	 1.0
0.10659999999999999	 Peticion	 9.380863039399626	 1.0	 9.380863039399626	 9.380863039399626	 7.527999999999999	 1.0
0.1207	 Peticion	 8.285004142502073	 1.0	 8.285004142502073	 8.285004142502073	 8.655999999999999	 1.0000000000000002
0.13479999999999998	 Peticion	 7.418397626112761	 1.0	 7.418397626112761	 7.418397626112761	 9.783999999999997	 1.0
0.14889999999999998	 Peticion	 6.715916722632641	 1.0	 6.715916722632641	 6.715916722632641	 10.911999999999997	 1.0
0.16299999999999998	 Peticion	 6.134969325153375	 1.0	 6.134969325153375	 6.134969325153375	 12.039999999999997	 1.0
0.17709999999999998	 Peticion	 5.646527385657821	 1.0	 5.646527385657821	 5.646527385657821	 13.168	 1.0
0.19119999999999998	 Peticion	 5.230125523012553	 1.0	 5.230125523012553	 5.230125523012553	 14.295999999999998	 1.0000000000000002
0.20529999999999998	 Peticion	 4.870920603994155	 1.0	 4.870920603994155	 4.870920603994155	 15.424	 1.0
0.21939999999999998	 Peticion	 4.55788514129444	 1.0	 4.55788514129444	 4.55788514129444	 16.552	 1.0
0.23349999999999999	 Peticion	 4.282655246252678	 1.0	 4.282655246252678	 4.282655246252678	 17.679999999999996	 1.0000000000000002
0.2476	 Peticion	 4.038772213247173	 1.0	 4.038772213247173	 4.038772213247173	 18.808	 0.9999999999999999
0.2617	 Peticion	 3.821169277799007	 1.0	 3.821169277799007	 3.821169277799007	 19.935999999999996	 1.0000000000000002
0.27579999999999993	 Peticion	 3.625815808556926	 1.0	 3.625815808556926	 3.625815808556926	 21.063999999999997	 1.0
0.2899	 Peticion	 3.4494653328734044	 1.0	 3.4494653328734044	 3.4494653328734044	 22.192	 0.9999999999999999
0.304	 Peticion	 3.289473684210526	 1.0	 3.289473684210526	 3.289473684210526	 23.32	 0.9999999999999999
