Algorithm: MVA
D for Peticion at Servidor_CES [s] 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Servidor_CES) 	Residence time (Servidor_CES) 	Utilization (Servidor_CES)
0.022	 Peticion	 4.882721957019927	 1.0	 4.882721957019927	 4.882721957019927	 0.024018988591283777	 0.10741988305443839
0.0361	 Peticion	 4.799975997462293	 1.0	 4.799975997462293	 4.799975997462293	 0.04167187557676486	 0.17327913350838878
0.0502	 Peticion	 4.711547789408007	 1.0	 4.711547789408007	 4.711547789408007	 0.06122238879555895	 0.23651969902828196
0.0643	 Peticion	 4.6178108092198045	 1.0	 4.6178108092198045	 4.6178108092198045	 0.08276415092994406	 0.2969252350328334
0.0784	 Peticion	 4.519275430209362	 1.0	 4.519275430209362	 4.519275430209362	 0.10637204507988299	 0.35431119372841396
0.0925	 Peticion	 4.416567455238238	 1.0	 4.416567455238238	 4.416567455238238	 0.13210090204096978	 0.408532489609537
0.10659999999999999	 Peticion	 4.3104004132241025	 1.0	 4.3104004132241025	 4.3104004132241025	 0.15998504098603913	 0.4594886840496893
0.1207	 Peticion	 4.201544427130416	 1.0	 4.201544427130416	 4.201544427130416	 0.190038588599411	 0.5071264123546412
0.13479999999999998	 Peticion	 4.090794489386747	 1.0	 4.090794489386747	 4.090794489386747	 0.22225646215475175	 0.5514390971693334
0.14889999999999998	 Peticion	 3.9789406486023102	 1.0	 3.9789406486023102	 3.9789406486023102	 0.2566158788411079	 0.5924642625768839
0.16299999999999998	 Peticion	 3.866742030078357	 1.0	 3.866742030078357	 3.866742030078357	 0.2930782454858201	 0.6302789509027721
0.17709999999999998	 Peticion	 3.754905914777242	 1.0	 3.754905914777242	 3.754905914777242	 0.331591287100631	 0.6649938375070494
0.19119999999999998	 Peticion	 3.6440724101110202	 1.0	 3.6440724101110202	 3.6440724101110202	 0.3720912861464437	 0.696746644813227
0.20529999999999998	 Peticion	 3.534804652987029	 1.0	 3.534804652987029	 3.534804652987029	 0.4145053237312085	 0.725695395258237
0.21939999999999998	 Peticion	 3.427584042848712	 1.0	 3.427584042848712	 3.427584042848712	 0.45875343609209684	 0.7520119390010074
0.23349999999999999	 Peticion	 3.3228097242492716	 1.0	 3.3228097242492716	 3.3228097242492716	 0.5047506221950939	 0.7758760706122049
0.2476	 Peticion	 3.2208014107859135	 1.0	 3.2208014107859135	 3.2208014107859135	 0.5524086593031953	 0.7974704293105922
0.2617	 Peticion	 3.1218046344066512	 1.0	 3.1218046344066512	 3.1218046344066512	 0.6016377017616704	 0.8169762728242206
0.27579999999999993	 Peticion	 3.025997579627962	 1.0	 3.025997579627962	 3.025997579627962	 0.6523476534355774	 0.8345701324613917
0.2899	 Peticion	 2.9334987863067057	 1.0	 2.9334987863067057	 2.9334987863067057	 0.7044493160656913	 0.850421298150314
0.304	 Peticion	 2.8443751487655127	 1.0	 2.8443751487655127	 2.8443751487655127	 0.7578553244532634	 0.8646900452247158
