
HORA INICIO DE MEDICION:  Mon Oct 17 10:12:21 2022

HORA FIN DE MEDICION: Mon Oct 17 10:17:21 2022
 

Parametros del experimento: 
Nº Usuarios: 340; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.494956;61712.863281;64593.398438
0;1;0.418299;65088.195313;67380.132813
0;2;1.704483;67807.234375;70717.093750
0;3;1.699121;72432.718750;75296.781250
0;4;1.845286;77011.351563;79688.531250
0;5;0.519929;81543.054688;84813.632813
0;6;0.136123;85340.343750;89134.382813
0;7;0.029842;89278.273438;92058.617188
0;8;0.173175;92091.062500;94900.968750
0;9;0.025230;95075.750000;97790.250000
0;10;2.012429;97826.039063;100606.312500
0;11;0.114342;102623.421875;106127.648438
0;12;0.836145;106248.812500;109060.882813
0;13;0.087264;109905.453125;112565.421875
0;14;3.980232;112655.742188;115458.750000
0;15;0.008695;119453.343750;122179.414063
0;16;0.383691;122187.992188;125062.218750
0;17;0.069957;125453.992188;128194.125000
0;18;4.382090;128266.789063;131016.773438
0;19;1.535550;135408.156250;137459.359375
0;20;1.602347;139002.296875;141134.437500
0;21;0.729882;142737.062500;145483.250000
0;22;0.411202;146221.796875;150075.906250
0;23;0.981370;150487.890625;152745.984375
0;24;2.268448;153738.234375;156892.109375
0;25;4.792615;159160.718750;162407.593750
0;26;0.412911;167208.421875;169991.296875
0;27;0.196365;170411.921875;173681.203125
0;28;0.146429;173880.984375;176201.875000
0;29;0.263933;176350.031250;179656.015625
0;30;0.084542;179928.531250;182599.984375
0;31;0.351017;182694.421875;186022.140625
0;32;1.493910;186382.359375;189071.718750
0;33;1.124854;190570.281250;193879.484375
0;34;0.004070;195008.250000;197863.546875
0;35;0.425541;197867.921875;201927.703125
0;36;2.830004;202352.781250;205219.234375
0;37;1.079058;208056.515625;211441.109375
0;38;4.015841;212525.718750;215767.062500
0;39;0.139319;219792.156250;222642.046875
0;40;3.404890;222792.437500;226144.546875
