
HORA INICIO DE MEDICION:  Mon Oct 17 10:05:35 2022

HORA FIN DE MEDICION: Mon Oct 17 10:10:35 2022
 

Parametros del experimento: 
Nº Usuarios: 290; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.704483;60479.417969;63416.386719
0;1;1.699121;65139.023438;67667.234375
0;2;1.845286;69370.968750;71575.242188
0;3;0.519929;73455.429688;75809.140625
0;4;0.136123;76372.890625;78637.546875
0;5;0.029842;78809.531250;80856.500000
0;6;0.173175;80887.804688;83442.929688
0;7;0.025230;83639.500000;85757.937500
0;8;2.012429;85810.250000;87685.382813
0;9;0.114342;89701.195313;92316.023438
0;10;0.836145;92470.367188;94873.117188
0;11;0.087264;95733.085938;97941.031250
0;12;3.980232;98069.414063;100498.343750
0;13;0.008695;104484.023438;106512.742188
0;14;0.383691;106565.000000;109732.382813
0;15;0.069957;110126.187500;113781.937500
0;16;4.382090;113881.765625;115977.453125
0;17;1.535550;120381.828125;122455.507813
0;18;1.602347;124023.914063;125979.476563
0;19;0.729882;127639.007813;130214.234375
0;20;0.411202;130986.609375;133424.578125
0;21;0.981370;133878.640625;136346.828125
0;22;2.268448;137363.609375;140069.906250
0;23;4.792615;142361.296875;144833.250000
0;24;0.412911;149648.578125;151973.484375
0;25;0.196365;152422.656250;154333.109375
0;26;0.146429;154555.562500;156979.390625
0;27;0.263933;157131.203125;159585.921875
0;28;0.084542;159889.234375;163427.484375
0;29;0.351017;163565.734375;166021.875000
0;30;1.493910;166400.250000;168581.359375
0;31;1.124854;170100.406250;172053.734375
0;32;0.004070;173184.953125;175754.906250
0;33;0.425541;175814.390625;177913.140625
0;34;2.830004;178357.234375;180223.875000
0;35;1.079058;183061.843750;185460.140625
0;36;4.015841;186554.703125;188770.515625
0;37;0.139319;192790.656250;195483.734375
0;38;3.404890;195659.625000;197637.250000
0;39;0.999709;201056.843750;203172.078125
0;40;1.996646;204206.328125;206708.921875
0;41;0.343973;208714.687500;211253.312500
0;42;0.068348;211653.562500;214164.281250
0;43;0.397240;214268.046875;216255.421875
0;44;0.991906;216700.187500;218871.187500
0;45;0.858117;219886.906250;222292.234375
0;46;0.115050;223175.046875;225338.578125
0;47;0.166125;225466.562500;227667.703125
0;48;1.100210;227868.203125;230110.140625
0;49;0.862446;231251.218750;233465.890625
0;50;0.667791;234341.578125;236629.406250
0;51;2.184368;237360.484375;239933.031250
0;52;0.711525;242123.703125;244430.968750
0;53;1.970566;245191.640625;247844.062500
0;54;0.870046;249830.218750;252285.687500
0;55;0.602496;253162.546875;255336.187500
0;56;0.176087;256015.546875;258280.265625
0;57;0.278020;258476.875000;260670.453125
0;58;1.815507;260959.156250;263170.593750
0;59;0.567697;265001.125000;266829.406250
0;60;1.419707;267424.437500;269938.562500
0;61;0.706281;271393.187500;273513.000000
0;62;0.714735;274235.125000;276815.031250
0;63;0.038465;277533.687500;279997.656250
0;64;0.240334;280064.312500;282385.468750
0;65;0.119906;282650.343750;285533.312500
0;66;0.047892;285687.562500;288284.812500
0;67;0.285001;288349.781250;289978.562500
0;68;0.253528;290318.656250;292816.531250
0;69;0.838301;293119.937500;295301.187500
0;70;1.249340;296160.656250;298457.750000
0;71;1.101580;299714.906250;302286.312500
0;72;1.656989;303422.812500;305380.406250
0;73;0.369556;307041.281250;309577.281250
0;74;0.845446;309959.000000;311766.937500
0;75;0.185066;312615.500000;314661.250000
0;76;1.067125;314850.125000;316801.031250
0;77;0.656635;317881.718750;319967.843750
0;78;0.255897;320632.031250;323516.937500
0;79;2.911693;323772.906250;325906.062500
0;80;0.111218;328820.375000;330728.718750
0;81;0.170271;330851.781250;333758.937500
0;82;0.281830;333930.281250;336700.093750
0;83;0.240626;336993.062500;339495.250000
0;84;0.671617;339743.375000;342319.687500
0;85;0.218253;342993.718750;345302.906250
0;86;3.049814;345525.250000;348468.312500
0;87;0.074366;351525.906250;354223.562500
0;88;0.637652;354307.406250;356823.000000
0;89;1.196687;357464.000000;359587.562500
1;0;1.221984;63987.503906;65858.320313
1;1;1.308164;67105.093750;69518.343750
1;2;4.064739;70855.132813;73997.234375
1;3;0.839453;78103.187500;80404.085938
1;4;1.701641;81267.859375;84098.835938
1;5;0.516165;85810.273438;87810.382813
1;6;1.201580;88356.656250;90488.078125
1;7;2.121168;91701.429688;93764.890625
1;8;3.348505;95890.867188;98475.679688
1;9;1.039315;101827.484375;104232.406250
1;10;0.582819;105281.046875;107467.039063
1;11;0.362812;108067.953125;110578.406250
1;12;0.908776;110972.289063;113982.992188
1;13;0.654321;114891.429688;116751.437500
1;14;2.504247;117407.320313;120206.406250
1;15;1.992530;122751.632813;125299.882813
1;16;1.991504;127329.375000;129226.828125
1;17;2.129279;131258.187500;134174.265625
1;18;1.936077;136346.796875;138425.875000
1;19;0.069921;140394.140625;143328.015625
1;20;1.277930;143425.687500;146254.078125
1;21;6.970408;147557.828125;149488.859375
1;22;0.768285;156481.593750;158854.984375
1;23;0.210421;159630.531250;161547.625000
1;24;1.035092;161784.671875;165019.781250
1;25;0.636873;166076.250000;168630.625000
1;26;0.953623;169288.890625;171498.140625
1;27;1.160039;172475.718750;175466.687500
1;28;0.414720;176663.640625;178779.468750
1;29;0.146352;179236.734375;181513.750000
1;30;0.769501;181669.765625;183992.500000
1;31;1.924817;184790.515625;186977.203125
1;32;0.413595;188926.828125;191547.656250
1;33;0.731383;191977.937500;194056.031250
1;34;0.902581;194790.531250;196822.390625
1;35;0.971907;197744.296875;199712.921875
1;36;0.234751;200701.609375;203246.500000
1;37;0.795482;203494.515625;205526.000000
1;38;0.040832;206322.953125;208588.859375
1;39;1.679938;208661.984375;210660.296875
1;40;1.617141;212354.937500;214475.781250
1;41;0.175063;216107.343750;218274.812500
1;42;0.649039;218464.890625;220888.531250
1;43;0.606159;221543.375000;223765.750000
1;44;2.342137;224387.484375;226612.062500
1;45;1.761255;229003.343750;231951.828125
1;46;0.373697;233721.390625;236794.984375
1;47;0.338068;237182.406250;239310.828125
1;48;4.733968;239664.500000;242598.140625
1;49;0.562031;247374.875000;250233.906250
1;50;0.425392;250797.687500;253352.671875
1;51;2.309871;253781.265625;255784.546875
1;52;0.458860;258094.078125;260357.078125
1;53;1.652758;260828.765625;263360.250000
1;54;1.772801;265052.000000;267054.500000
1;55;1.750817;268831.281250;271882.531250
1;56;2.932254;273651.531250;276066.562500
1;57;1.368097;279035.000000;282125.062500
1;58;1.219235;283517.281250;285628.281250
1;59;1.969761;286876.406250;288850.531250
1;60;2.515095;290831.968750;293474.562500
1;61;0.836576;296019.968750;298463.531250
1;62;0.187094;299311.843750;301662.562500
1;63;0.187930;301865.562500;304325.250000
1;64;1.265980;304557.593750;306699.218750
1;65;0.963009;307994.656250;309941.062500
1;66;1.529735;310912.218750;312840.875000
1;67;0.290059;314381.312500;316375.250000
1;68;0.965752;316678.437500;318886.656250
1;69;0.567191;319866.375000;322153.812500
1;70;0.042470;322725.937500;325080.875000
1;71;0.250067;325132.468750;327489.218750
1;72;3.810130;327742.093750;329610.937500
1;73;3.796279;333430.218750;335887.125000
1;74;0.458758;339696.500000;342310.875000
