
HORA INICIO DE MEDICION:  Mon Oct 17 09:52:30 2022

HORA FIN DE MEDICION: Mon Oct 17 09:57:30 2022
 

Parametros del experimento: 
Nº Usuarios: 160; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.069957;61213.199219;61992.078125
0;1;4.382090;62072.660156;62886.125000
0;2;1.535550;67276.351563;67943.500000
0;3;1.602347;69479.703125;70333.226563
0;4;0.729882;71948.703125;73213.406250
0;5;0.411202;73948.921875;74794.570313
0;6;0.981370;75214.679688;75685.000000
0;7;2.268448;76667.968750;77478.531250
0;8;4.792615;79762.039063;80676.734375
0;9;0.412911;85481.406250;86069.929688
0;10;0.196365;86497.132813;87070.601563
0;11;0.146429;87278.492188;88619.492188
0;12;0.263933;88778.632813;89588.914063
0;13;0.084542;89856.859375;90757.203125
0;14;0.351017;90841.335938;91571.679688
0;15;1.493910;91935.218750;92769.421875
0;16;1.124854;94263.578125;94845.125000
0;17;0.004070;95982.515625;96698.679688
0;18;0.425541;96716.968750;97374.960938
0;19;2.830004;97810.875000;98757.835938
0;20;1.079058;101592.484375;102289.382813
0;21;4.015841;103373.914063;104033.937500
0;22;0.139319;108061.976563;108927.289063
0;23;3.404890;109077.664063;110135.281250
0;24;0.999709;113546.890625;114193.281250
0;25;1.996646;115203.304688;116140.453125
0;26;0.343973;118141.117188;118969.281250
0;27;0.068348;119313.117188;120127.468750
0;28;0.397240;120203.835938;121383.093750
0;29;0.991906;121782.132813;122815.039063
0;30;0.858117;123813.601563;124575.359375
0;31;0.115050;125438.757813;125947.117188
0;32;0.166125;126063.843750;127071.218750
0;33;1.100210;127251.460938;128251.054688
0;34;0.862446;129361.054688;130150.500000
0;35;0.667791;131017.492188;131956.703125
0;36;2.184368;132627.015625;133371.640625
0;37;0.711525;135564.843750;136201.234375
0;38;1.970566;136924.375000;137900.562500
0;39;0.870046;139877.796875;140624.890625
0;40;0.602496;141502.984375;141931.671875
0;41;0.176087;142534.343750;143384.781250
0;42;0.278020;143565.703125;144594.609375
0;43;1.815507;144878.328125;145933.031250
0;44;0.567697;147753.640625;148769.109375
0;45;1.419707;149347.546875;150138.765625
0;46;0.706281;151566.562500;152113.390625
0;47;0.714735;152832.296875;153554.515625
0;48;0.038465;154269.953125;155205.984375
0;49;0.240334;155254.468750;156304.281250
0;50;0.119906;156551.453125;157461.406250
0;51;0.047892;157582.812500;158047.593750
0;52;0.285001;158098.484375;158874.187500
0;53;0.253528;159161.093750;159928.921875
0;54;0.838301;160192.468750;160855.296875
0;55;1.249340;161708.250000;162708.609375
0;56;1.101580;163958.484375;164791.171875
0;57;1.656989;165896.203125;166927.953125
0;58;0.369556;168583.968750;169269.375000
0;59;0.845446;169646.593750;170415.062500
0;60;0.185066;171271.750000;172141.734375
0;61;1.067125;172334.359375;173071.968750
0;62;0.656635;174147.062500;174615.296875
0;63;0.255897;175272.171875;176035.984375
0;64;2.911693;176303.546875;176994.031250
0;65;0.111218;179913.296875;180675.828125
0;66;0.170271;180788.406250;181477.640625
0;67;0.281830;181647.859375;182648.750000
0;68;0.240626;182944.875000;183735.968750
0;69;0.671617;183976.234375;184791.265625
0;70;0.218253;185476.375000;186327.953125
0;71;3.049814;186554.625000;187093.203125
0;72;0.074366;190148.750000;190865.421875
0;73;0.637652;190945.718750;191579.296875
0;74;1.196687;192227.140625;193313.312500
0;75;0.976792;194524.218750;195498.265625
0;76;1.069785;196477.609375;197322.671875
0;77;1.826403;198399.640625;199200.093750
0;78;1.438290;201040.531250;201985.312500
0;79;4.066091;203431.437500;203973.656250
0;80;0.487924;208041.281250;208925.453125
0;81;3.273600;209416.437500;209960.109375
0;82;0.187134;213244.968750;214091.296875
0;83;0.753801;214291.984375;215151.531250
0;84;0.541355;215917.203125;217025.406250
0;85;0.096974;217573.562500;218090.640625
0;86;0.059347;218198.625000;219000.312500
0;87;3.375614;219073.750000;219720.265625
0;88;0.600756;223105.375000;223672.718750
0;89;0.314941;224277.437500;224773.656250
0;90;0.477355;225089.984375;225756.468750
0;91;3.224045;226246.343750;226884.046875
0;92;3.339382;230121.750000;230966.625000
0;93;0.922202;234309.718750;235331.656250
0;94;0.441121;236263.046875;236970.718750
0;95;0.244938;237419.406250;238094.828125
0;96;1.181841;238341.359375;239443.421875
0;97;3.641483;240638.515625;241399.671875
0;98;2.160181;245045.234375;245721.937500
0;99;1.218422;247889.265625;248732.484375
0;100;0.652983;249951.984375;250854.234375
0;101;2.319507;251514.656250;252128.921875
0;102;1.074947;254452.468750;255110.359375
0;103;1.654569;256187.046875;257003.859375
0;104;0.166047;258671.656250;259374.359375
0;105;0.116803;259546.750000;260527.296875
0;106;0.011067;260656.265625;261774.765625
0;107;1.025499;261796.984375;262796.781250
0;108;0.318881;263828.500000;264981.187500
0;109;0.380888;265313.031250;266072.406250
0;110;2.527719;266453.718750;267719.687500
0;111;0.575600;270251.031250;270899.500000
0;112;2.044691;271485.531250;272631.843750
0;113;0.416680;274689.031250;275476.906250
0;114;0.079695;275907.875000;276465.812500
0;115;0.338799;276548.562500;277316.031250
0;116;2.683230;277658.093750;278748.468750
0;117;3.102624;281439.687500;282449.625000
0;118;0.626500;285565.156250;286447.468750
0;119;0.325405;287080.937500;287794.875000
0;120;0.360760;288127.937500;288712.031250
0;121;0.050525;289081.125000;289870.593750
0;122;1.960544;289925.000000;290491.375000
0;123;3.341480;292456.500000;292966.656250
0;124;0.681240;296316.281250;297055.468750
0;125;2.350922;297738.312500;298485.625000
0;126;0.981370;300848.031250;301910.562500
0;127;1.028574;302895.125000;303635.812500
0;128;0.724291;304676.531250;305237.406250
0;129;0.811862;305973.593750;306967.906250
0;130;0.950671;307786.281250;308545.343750
0;131;2.301678;309505.250000;310133.031250
0;132;0.109325;312443.000000;313567.937500
0;133;0.063821;313677.531250;314597.250000
0;134;3.810130;314661.968750;315454.156250
0;135;0.569555;319271.843750;319628.187500
0;136;0.536369;320209.500000;320880.843750
0;137;1.188052;321428.312500;322197.750000
0;138;0.607033;323397.312500;324213.812500
0;139;0.155440;324835.000000;325559.687500
0;140;0.289884;325725.687500;326252.531250
0;141;0.122605;326553.875000;327094.000000
0;142;3.035407;327225.843750;327844.593750
0;143;1.206193;330882.468750;331537.843750
0;144;0.923056;332757.687500;333428.593750
0;145;1.871285;334367.218750;334879.093750
0;146;0.030049;336758.062500;337463.156250
0;147;0.877698;337508.187500;338093.750000
0;148;3.308375;338977.093750;340053.218750
0;149;0.083962;343368.156250;344081.625000
0;150;0.829774;344165.125000;345122.437500
0;151;1.678702;345962.218750;346958.562500
0;152;0.509797;348649.968750;349406.031250
0;153;0.619285;349915.718750;350536.593750
0;154;1.257313;351165.875000;351982.937500
0;155;0.622650;353244.218750;353862.218750
0;156;1.744569;354494.375000;355111.937500
0;157;4.360661;356869.593750;357522.437500
1;0;3.348505;60775.648438;61532.804688
1;1;1.039315;64885.507813;65815.812500
1;2;0.582819;66870.070313;67509.304688
1;3;0.362812;68104.562500;68864.812500
1;4;0.908776;69229.671875;69918.296875
1;5;0.654321;70839.218750;72188.156250
1;6;2.504247;72855.054688;74050.351563
1;7;1.992530;76558.609375;77319.773438
1;8;1.991504;79324.492188;80115.507813
1;9;2.129279;82121.664063;82975.976563
1;10;1.936077;85106.351563;85553.585938
1;11;0.069921;87497.273438;88657.437500
1;12;1.277930;88731.750000;89392.109375
1;13;6.970408;90669.445313;91356.921875
1;14;0.768285;98342.140625;99137.054688
1;15;0.210421;99920.421875;100506.726563
1;16;1.035092;100717.398438;101396.007813
1;17;0.636873;102436.335938;103317.179688
1;18;0.953623;103967.734375;104766.250000
1;19;1.160039;105733.562500;106505.781250
1;20;0.414720;107671.257813;108267.515625
1;21;0.146352;108686.992188;109540.734375
1;22;0.769501;109687.109375;111105.765625
1;23;1.924817;111874.828125;112839.007813
1;24;0.413595;114765.804688;115484.179688
1;25;0.731383;115906.507813;116926.242188
1;26;0.902581;117672.320313;118616.539063
1;27;0.971907;119531.921875;120134.578125
1;28;0.234751;121110.187500;122082.023438
1;29;0.795482;122329.070313;123233.242188
1;30;0.040832;124032.367188;125078.632813
1;31;1.679938;125126.234375;125815.500000
1;32;1.617141;127501.500000;128318.390625
1;33;0.175063;129939.242188;130525.476563
1;34;0.649039;130704.953125;131300.406250
1;35;0.606159;131955.093750;132625.750000
1;36;2.342137;133236.531250;133901.468750
1;37;1.761255;136252.421875;137067.031250
1;38;0.373697;138830.812500;139605.406250
1;39;0.338068;139987.187500;140626.468750
1;40;4.733968;140971.656250;141575.812500
1;41;0.562031;146315.984375;147028.156250
1;42;0.425392;147597.375000;148418.953125
1;43;2.309871;148847.500000;149838.859375
1;44;0.458860;152160.359375;152751.765625
1;45;1.652758;153222.968750;153910.937500
1;46;1.772801;155567.000000;156481.125000
1;47;1.750817;158254.750000;159005.406250
1;48;2.932254;160770.656250;161506.046875
1;49;1.368097;164442.906250;165244.437500
1;50;1.219235;166615.015625;167378.140625
1;51;1.969761;168599.609375;169280.937500
1;52;2.515095;171256.140625;172288.953125
1;53;0.836576;174819.000000;175464.937500
1;54;0.187094;176303.546875;176993.843750
1;55;0.187930;177194.265625;178049.234375
1;56;1.265980;178241.250000;179105.078125
1;57;0.963009;180382.109375;181170.609375
1;58;1.529735;182147.953125;183103.312500
1;59;0.290059;184632.546875;185478.718750
