
HORA INICIO DE MEDICION:  Mon Oct 17 09:58:57 2022

HORA FIN DE MEDICION: Mon Oct 17 10:03:57 2022
 

Parametros del experimento: 
Nº Usuarios: 240; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.519929;60818.082031;63107.621094
0;1;0.136123;63664.703125;65511.058594
0;2;0.029842;65669.476563;67700.929688
0;3;0.173175;67754.437500;69371.914063
0;4;0.025230;69579.882813;70946.546875
0;5;2.012429;70996.039063;72548.125000
0;6;0.114342;74613.976563;76309.078125
0;7;0.836145;76449.742188;78300.820313
0;8;0.087264;79181.687500;80733.375000
0;9;3.980232;80834.765625;82413.367188
0;10;0.008695;86433.250000;88010.281250
0;11;0.383691;88044.679688;89894.046875
0;12;0.069957;90320.945313;91810.687500
0;13;4.382090;91917.585938;93623.375000
0;14;1.535550;98040.343750;99814.867188
0;15;1.602347;101371.859375;103210.648438
0;16;0.729882;104866.632813;106595.382813
0;17;0.411202;107329.335938;108799.429688
0;18;0.981370;109231.421875;110719.960938
0;19;2.268448;111734.679688;113391.148438
0;20;4.792615;115712.601563;117521.843750
0;21;0.412911;122317.343750;124064.117188
0;22;0.196365;124486.085938;126165.320313
0;23;0.146429;126392.554688;128392.710938
0;24;0.263933;128595.562500;130252.937500
0;25;0.084542;130517.929688;131789.796875
0;26;0.351017;131904.562500;133877.640625
0;27;1.493910;134237.156250;136243.109375
0;28;1.124854;137743.390625;139597.062500
0;29;0.004070;140722.187500;142465.859375
0;30;0.425541;142517.250000;143994.578125
0;31;2.830004;144425.687500;146203.515625
0;32;1.079058;149035.531250;150866.421875
0;33;4.015841;151994.468750;153285.906250
0;34;0.139319;157302.109375;159113.906250
0;35;3.404890;159265.562500;160771.390625
0;36;0.999709;164213.437500;165813.437500
0;37;1.996646;166834.328125;168996.828125
0;38;0.343973;171022.328125;173099.265625
0;39;0.068348;173460.031250;175523.859375
0;40;0.397240;175628.265625;176720.937500
0;41;0.991906;177149.109375;179113.437500
0;42;0.858117;180127.750000;182105.812500
0;43;0.115050;182990.546875;184733.906250
0;44;0.166125;184890.187500;187093.343750
0;45;1.100210;187281.265625;188748.312500
0;46;0.862446;189852.390625;191574.781250
0;47;0.667791;192459.406250;194100.312500
0;48;2.184368;194774.750000;196603.078125
0;49;0.711525;198796.890625;200347.250000
0;50;1.970566;201119.218750;202856.140625
0;51;0.870046;204854.843750;206746.812500
0;52;0.602496;207632.546875;209198.281250
0;53;0.176087;209821.781250;211537.250000
0;54;0.278020;211714.109375;213842.546875
0;55;1.815507;214146.781250;215937.625000
0;56;0.567697;217762.515625;219551.203125
0;57;1.419707;220161.171875;221430.359375
0;58;0.706281;222892.828125;224419.718750
0;59;0.714735;225145.968750;226620.265625
0;60;0.038465;227376.875000;229411.656250
0;61;0.240334;229450.359375;231163.468750
0;62;0.119906;231426.625000;232964.890625
0;63;0.047892;233112.453125;235465.734375
0;64;0.285001;235529.093750;237221.671875
0;65;0.253528;237513.750000;238838.343750
0;66;0.838301;239097.484375;240842.140625
0;67;1.249340;241687.578125;243326.140625
0;68;1.101580;244612.734375;246543.578125
0;69;1.656989;247660.000000;249101.718750
0;70;0.369556;250788.062500;253053.843750
0;71;0.845446;253452.906250;255109.328125
0;72;0.185066;255969.312500;257437.171875
0;73;1.067125;257640.843750;259076.968750
0;74;0.656635;260165.609375;262263.750000
0;75;0.255897;262953.875000;264835.062500
0;76;2.911693;265136.937500;266414.437500
0;77;0.111218;269343.625000;271392.281250
0;78;0.170271;271517.312500;272977.093750
0;79;0.281830;273181.250000;275263.500000
0;80;0.240626;275561.968750;277266.250000
0;81;0.671617;277519.750000;279377.500000
0;82;0.218253;280064.156250;281838.937500
0;83;3.049814;282079.656250;284633.812500
0;84;0.074366;287690.906250;289519.187500
0;85;0.637652;289598.000000;291646.718750
0;86;1.196687;292301.062500;294041.687500
0;87;0.976792;295254.250000;297696.468750
0;88;1.069785;298676.406250;300094.062500
0;89;1.826403;301198.750000;302521.718750
0;90;1.438290;304390.718750;306193.968750
0;91;4.066091;307646.875000;309818.906250
