
HORA INICIO DE MEDICION:  Mon Oct 17 10:56:55 2022

HORA FIN DE MEDICION: Mon Oct 17 11:01:55 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;0.004070;60969.183594;61051.511719
0;1;0.425541;61062.929688;61111.054688
0;2;2.830004;61547.367188;61645.039063
0;3;1.079058;64485.179688;64588.464844
0;4;4.015841;65672.796875;65747.664063
0;5;0.139319;69766.984375;69865.421875
0;6;3.404890;70017.015625;70116.296875
0;7;0.999709;73533.023438;73612.421875
0;8;1.996646;74626.875000;74678.937500
0;9;0.343973;76689.585938;76759.421875
0;10;0.068348;77111.523438;77186.500000
0;11;0.397240;77267.781250;77321.015625
0;12;0.991906;77720.953125;77796.179688
0;13;0.858117;78799.203125;78891.171875
0;14;0.115050;79752.421875;79853.007813
0;15;0.166125;79971.203125;80073.015625
0;16;1.100210;80252.468750;80318.578125
0;17;0.862446;81424.476563;81500.859375
0;18;0.667791;82377.710938;82480.757813
0;19;2.184368;83159.023438;83220.140625
0;20;0.711525;85409.281250;85510.039063
0;21;1.970566;86221.867188;86290.085938
0;22;0.870046;88268.953125;88357.929688
0;23;0.602496;89237.804688;89357.234375
0;24;0.176087;89972.265625;90048.179688
0;25;0.278020;90237.914063;90302.921875
0;26;1.815507;90581.703125;90634.539063
0;27;0.567697;92456.898438;92522.492188
0;28;1.419707;93097.578125;93195.867188
0;29;0.706281;94628.992188;94681.804688
0;30;0.714735;95394.695313;95472.265625
0;31;0.038465;96191.671875;96256.414063
0;32;0.240334;96301.062500;96389.101563
0;33;0.119906;96629.203125;96691.062500
0;34;0.047892;96816.734375;96870.289063
0;35;0.285001;96926.117188;96992.648438
0;36;0.253528;97285.539063;97361.851563
0;37;0.838301;97629.328125;97694.906250
0;38;1.249340;98535.656250;98620.765625
0;39;1.101580;99879.570313;99973.796875
0;40;1.656989;101082.804688;101183.875000
0;41;0.369556;102848.609375;102932.695313
0;42;0.845446;103301.789063;103391.523438
0;43;0.185066;104239.390625;104337.843750
0;44;1.067125;104536.320313;104612.726563
0;45;0.656635;105692.695313;105779.632813
0;46;0.255897;106442.765625;106511.031250
0;47;2.911693;106770.906250;106825.054688
0;48;0.111218;109739.992188;109805.523438
0;49;0.170271;109927.500000;109980.382813
0;50;0.281830;110161.906250;110214.757813
0;51;0.240626;110505.687500;110607.445313
0;52;0.671617;110849.484375;110913.992188
0;53;0.218253;111599.562500;111653.921875
0;54;3.049814;111880.835938;111979.406250
0;55;0.074366;115037.429688;115125.132813
0;56;0.637652;115209.320313;115285.507813
0;57;1.196687;115928.117188;115979.101563
0;58;0.976792;117178.281250;117281.937500
0;59;1.069785;118272.140625;118326.046875
0;60;1.826403;119397.273438;119485.179688
0;61;1.438290;121319.335938;121410.062500
0;62;4.066091;122850.757813;122915.335938
0;63;0.487924;126991.812500;127046.046875
0;64;3.273600;127538.757813;127602.289063
0;65;0.187134;130882.851563;130953.531250
0;66;0.753801;131148.515625;131204.171875
0;67;0.541355;131961.093750;132037.546875
0;68;0.096974;132586.156250;132682.515625
0;69;0.059347;132789.312500;132876.812500
0;70;3.375614;132945.562500;133021.593750
0;71;0.600756;136399.062500;136478.093750
0;72;0.314941;137086.640625;137140.109375
0;73;0.477355;137461.671875;137548.390625
0;74;3.224045;138039.875000;138108.062500
0;75;3.339382;141337.093750;141442.218750
0;76;0.922202;144790.578125;144893.812500
0;77;0.441121;145821.953125;145874.984375
0;78;0.244938;146322.000000;146375.718750
0;79;1.181841;146634.500000;146718.593750
0;80;3.641483;147900.296875;147986.125000
0;81;2.160181;151635.046875;151694.703125
0;82;1.218422;153869.656250;153943.609375
