
HORA INICIO DE MEDICION:  Mon Oct 17 09:18:28 2022

HORA FIN DE MEDICION: Mon Oct 17 09:23:28 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.493910;60090.253906;60176.156250
0;1;1.124854;61703.425781;61809.621094
0;2;0.004070;62941.402344;63043.601563
0;3;0.425541;63097.308594;63214.789063
0;4;2.830004;63659.082031;63785.058594
0;5;1.079058;66642.601563;66762.742188
0;6;4.015841;67856.625000;67966.054688
0;7;0.139319;72008.515625;72167.640625
0;8;3.404890;72322.546875;72419.578125
0;9;0.999709;75864.976563;75964.804688
0;10;1.996646;77011.976563;77132.101563
0;11;0.343973;79148.164063;79253.429688
0;12;0.068348;79609.648438;79732.382813
0;13;0.397240;79843.203125;79944.023438
0;14;0.991906;80342.281250;80420.398438
0;15;0.858117;81458.546875;81577.101563
0;16;0.115050;82467.546875;82568.953125
0;17;0.166125;82722.648438;82848.140625
0;18;1.100210;83040.492188;83189.984375
0;19;0.862446;84337.875000;84448.585938
0;20;0.667791;85311.593750;85404.046875
0;21;2.184368;86090.765625;86193.007813
0;22;0.711525;88405.171875;88507.507813
0;23;1.970566;89240.218750;89388.382813
0;24;0.870046;91364.828125;91468.453125
0;25;0.602496;92374.960938;92515.125000
0;26;0.176087;93140.515625;93220.882813
0;27;0.278020;93444.218750;93532.164063
0;28;1.815507;93828.125000;93929.304688
0;29;0.567697;95752.914063;95843.914063
0;30;1.419707;96437.773438;96538.093750
0;31;0.706281;98007.398438;98202.539063
0;32;0.714735;98952.273438;99060.257813
0;33;0.038465;99813.117188;99899.789063
0;34;0.240334;99948.820313;100031.851563
0;35;0.119906;100292.718750;100446.507813
0;36;0.047892;100602.210938;100668.750000
0;37;0.285001;100724.156250;100829.921875
0;38;0.253528;101133.601563;101235.093750
0;39;0.838301;101544.117188;101641.445313
0;40;1.249340;102505.679688;102636.578125
0;41;1.101580;103913.468750;104071.820313
0;42;1.656989;105181.710938;105282.414063
0;43;0.369556;106962.195313;107068.179688
0;44;0.845446;107451.875000;107506.093750
0;45;0.185066;108402.234375;108555.835938
0;46;1.067125;108766.875000;108868.789063
0;47;0.656635;109948.195313;110050.804688
0;48;0.255897;110726.890625;110848.539063
0;49;2.911693;111138.789063;111283.039063
0;50;0.111218;114214.867188;114356.656250
0;51;0.170271;114514.375000;114618.343750
0;52;0.281830;114821.398438;114927.609375
0;53;0.240626;115222.625000;115369.398438
0;54;0.671617;115615.632813;115717.937500
0;55;0.218253;116416.968750;116617.664063
0;56;3.049814;116849.132813;116951.281250
0;57;0.074366;120037.609375;120165.617188
0;58;0.637652;120265.187500;120393.390625
0;59;1.196687;121053.007813;121152.921875
0;60;0.976792;122383.429688;122526.609375
0;61;1.069785;123551.703125;123628.101563
0;62;1.826403;124712.539063;124813.687500
0;63;1.438290;126645.218750;126762.312500
0;64;4.066091;128248.390625;128366.242188
0;65;0.487924;132453.625000;132603.375000
0;66;3.273600;133103.250000;133223.515625
0;67;0.187134;136514.875000;136581.234375
0;68;0.753801;136807.000000;136957.656250
0;69;0.541355;137723.781250;137879.296875
0;70;0.096974;138435.765625;138567.250000
0;71;0.059347;138715.078125;138789.062500
0;72;3.375614;138892.812500;138989.171875
0;73;0.600756;142364.875000;142498.687500
0;74;0.314941;143127.796875;143231.984375
0;75;0.477355;143583.359375;143703.000000
0;76;3.224045;144225.109375;144328.312500
0;77;3.339382;147562.250000;147703.531250
0;78;0.922202;151052.921875;151193.531250
0;79;0.441121;152175.734375;152277.140625
0;80;0.244938;152736.156250;152841.750000
0;81;1.181841;153125.546875;153229.671875
0;82;3.641483;154460.000000;154656.546875
0;83;2.160181;158303.875000;158458.140625
0;84;1.218422;160639.968750;160694.671875
0;85;0.652983;161920.875000;162038.437500
0;86;2.319507;162732.234375;162866.656250
0;87;1.074947;165198.421875;165323.125000
0;88;1.654569;166406.187500;166562.968750
0;89;0.166047;168266.203125;168367.343750
0;90;0.116803;168554.812500;168661.718750
0;91;0.011067;168804.828125;168914.890625
0;92;1.025499;168931.562500;169015.500000
0;93;0.318881;170066.000000;170154.390625
0;94;0.380888;170498.234375;170617.515625
0;95;2.527719;171008.250000;171171.437500
0;96;0.575600;173723.406250;173821.000000
0;97;2.044691;174399.156250;174502.671875
0;98;0.416680;176580.453125;176737.781250
0;99;0.079695;177196.406250;177353.390625
0;100;0.338799;177458.390625;177618.328125
0;101;2.683230;177976.640625;178129.734375
0;102;3.102624;180821.812500;180977.968750
0;103;0.626500;184130.656250;184228.281250
0;104;0.325405;184894.171875;185079.750000
0;105;0.360760;185451.765625;185572.218750
0;106;0.050525;185956.765625;186122.437500
0;107;1.960544;186226.281250;186383.625000
0;108;3.341480;188363.078125;188521.890625
0;109;0.681240;191870.812500;191970.765625
0;110;2.350922;192683.203125;192786.687500
0;111;0.981370;195156.718750;195291.968750
0;112;1.028574;196297.015625;196451.562500
0;113;0.724291;197510.984375;197614.890625
0;114;0.811862;198380.828125;198535.250000
0;115;0.950671;199358.031250;199466.250000
0;116;2.301678;200439.468750;200538.625000
0;117;0.109325;202884.265625;203035.921875
0;118;0.063821;203186.140625;203288.218750
0;119;3.810130;203387.734375;203486.828125
0;120;0.569555;207314.921875;207505.031250
0;121;0.536369;208094.890625;208195.656250
0;122;1.188052;208748.265625;208906.171875
0;123;0.607033;210111.718750;210212.140625
0;124;0.155440;210824.937500;210914.906250
0;125;0.289884;211096.718750;211231.156250
0;126;0.122605;211549.203125;211650.406250
0;127;3.035407;211822.890625;211945.578125
0;128;1.206193;214982.593750;215131.593750
0;129;0.923056;216358.515625;216466.109375
0;130;1.871285;217419.375000;217556.625000
0;131;0.030049;219467.421875;219567.984375
0;132;0.877698;219621.921875;219832.703125
0;133;3.308375;220725.500000;220919.703125
0;134;0.083962;224276.734375;224426.515625
0;135;0.829774;224529.562500;224633.796875
0;136;1.678702;225467.078125;225546.328125
0;137;0.509797;227264.140625;227364.906250
0;138;0.619285;227898.250000;228014.250000
0;139;1.257313;228643.718750;228764.265625
0;140;0.622650;230030.046875;230146.078125
0;141;1.744569;230794.156250;230936.421875
0;142;4.360661;232707.078125;232886.421875
0;143;1.435563;237273.015625;237372.796875
0;144;1.259420;238823.500000;238924.046875
0;145;0.559125;240187.390625;240339.765625
0;146;0.826140;240920.671875;241023.109375
0;147;1.668557;241866.468750;241969.921875
0;148;0.186736;243662.078125;243763.359375
0;149;3.523015;243966.343750;244120.656250
0;150;0.352681;247701.937500;247854.015625
0;151;0.132254;248226.171875;248288.421875
0;152;2.261606;248422.671875;248549.531250
0;153;0.537518;250839.656250;251026.593750
0;154;0.137720;251588.765625;251744.515625
0;155;1.183416;251915.218750;252016.390625
0;156;1.166903;253212.437500;253313.296875
0;157;2.050305;254500.781250;254561.578125
0;158;0.178177;256642.265625;256739.484375
0;159;2.404264;256955.875000;257032.937500
0;160;0.492484;259442.156250;259580.046875
0;161;0.656270;260085.468750;260242.375000
0;162;0.650736;260927.109375;261130.593750
0;163;1.796952;261803.593750;261907.828125
0;164;1.610445;263725.312500;263879.156250
0;165;6.099662;265542.906250;265699.750000
0;166;1.533518;271842.906250;271943.968750
0;167;0.367397;273519.093750;273651.875000
0;168;0.653347;274037.093750;274247.468750
0;169;1.325389;274909.843750;275070.593750
0;170;0.164447;276409.968750;276555.062500
0;171;0.659322;276748.281250;276852.218750
0;172;0.731187;277569.718750;277635.125000
0;173;0.575487;278388.937500;278523.937500
0;174;0.316551;279123.937500;279207.343750
0;175;0.456519;279564.000000;279663.875000
0;176;0.547412;280129.156250;280218.093750
0;177;0.314181;280769.812500;280926.062500
0;178;0.255643;281260.000000;281316.343750
0;179;0.852856;281595.937500;281701.281250
0;180;0.040727;282567.281250;282711.968750
0;181;0.255855;282756.000000;282848.593750
0;182;1.690970;283113.812500;283181.656250
0;183;0.055739;284879.625000;284987.125000
