
HORA INICIO DE MEDICION:  Mon Oct 17 11:23:47 2022

HORA FIN DE MEDICION: Mon Oct 17 11:28:47 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.124854;61535.148438;61684.652344
0;1;0.004070;62855.281250;62991.601563
0;2;0.425541;63008.312500;63116.546875
0;3;2.830004;63563.535156;63703.332031
0;4;1.079058;66553.914063;66646.140625
0;5;4.015841;67767.750000;67820.132813
0;6;0.139319;71883.843750;72024.960938
0;7;3.404890;72186.437500;72334.242188
0;8;0.999709;75741.625000;75845.398438
0;9;1.996646;76873.601563;76927.976563
0;10;0.343973;78941.835938;79093.257813
0;11;0.068348;79458.304688;79553.757813
0;12;0.397240;79662.320313;79763.921875
0;13;0.991906;80170.250000;80271.453125
0;14;0.858117;81310.023438;81410.804688
0;15;0.115050;82292.078125;82488.015625
0;16;0.166125;82633.312500;82734.203125
0;17;1.100210;82952.117188;83038.500000
0;18;0.862446;84175.460938;84273.007813
0;19;0.667791;85156.140625;85209.398438
0;20;2.184368;85890.453125;86001.015625
0;21;0.711525;88223.078125;88356.218750
0;22;1.970566;89086.046875;89187.367188
0;23;0.870046;91194.257813;91343.171875
0;24;0.602496;92251.898438;92353.101563
0;25;0.176087;92961.460938;93145.531250
0;26;0.278020;93341.578125;93490.265625
0;27;1.815507;93774.023438;93876.312500
0;28;0.567697;95738.859375;95887.531250
0;29;1.419707;96475.031250;96575.953125
0;30;0.706281;98039.046875;98138.757813
0;31;0.714735;98873.789063;98980.046875
0;32;0.038465;99696.570313;99799.437500
0;33;0.240334;99853.945313;100006.757813
0;34;0.119906;100295.265625;100396.945313
0;35;0.047892;100555.656250;100696.640625
0;36;0.285001;100762.539063;100899.781250
0;37;0.253528;101226.000000;101330.242188
0;38;0.838301;101605.234375;101752.632813
0;39;1.249340;102609.375000;102804.671875
0;40;1.101580;104066.148438;104219.335938
0;41;1.656989;105331.328125;105478.460938
0;42;0.369556;107145.132813;107302.726563
0;43;0.845446;107697.398438;107798.468750
0;44;0.185066;108686.710938;108816.382813
0;45;1.067125;109042.476563;109195.750000
0;46;0.656635;110292.507813;110386.234375
0;47;0.255897;111105.593750;111251.640625
0;48;2.911693;111510.953125;111604.101563
0;49;0.111218;114541.664063;114654.539063
0;50;0.170271;114812.375000;114917.250000
0;51;0.281830;115119.750000;115223.320313
0;52;0.240626;115511.039063;115564.265625
0;53;0.671617;115825.835938;115955.335938
0;54;0.218253;116641.656250;116760.109375
0;55;3.049814;116979.640625;117051.390625
0;56;0.074366;120116.054688;120245.679688
0;57;0.637652;120348.273438;120450.101563
0;58;1.196687;121093.187500;121243.718750
0;59;0.976792;122464.273438;122558.328125
0;60;1.069785;123542.898438;123642.648438
0;61;1.826403;124730.515625;124836.867188
0;62;1.438290;126716.117188;126815.234375
0;63;4.066091;128270.164063;128341.078125
0;64;0.487924;132421.343750;132572.078125
0;65;3.273600;133089.046875;133176.062500
0;66;0.187134;136458.265625;136562.781250
0;67;0.753801;136806.796875;136927.218750
0;68;0.541355;137696.531250;137800.406250
0;69;0.096974;138357.109375;138528.953125
0;70;0.059347;138640.781250;138791.062500
0;71;3.375614;138879.437500;139033.765625
0;72;0.600756;142420.671875;142526.921875
0;73;0.314941;143150.937500;143290.921875
0;74;0.477355;143641.375000;143798.609375
0;75;3.224045;144291.703125;144396.812500
0;76;3.339382;147633.953125;147788.359375
0;77;0.922202;151170.406250;151311.421875
0;78;0.441121;152253.609375;152356.593750
0;79;0.244938;152822.359375;152905.296875
0;80;1.181841;153160.328125;153314.125000
0;81;3.641483;154530.312500;154650.437500
0;82;2.160181;158314.015625;158420.109375
0;83;1.218422;160607.421875;160734.265625
0;84;0.652983;161953.156250;162054.812500
0;85;2.319507;162750.093750;162861.437500
0;86;1.074947;165233.984375;165375.375000
0;87;1.654569;166481.156250;166583.234375
0;88;0.166047;168276.343750;168330.437500
0;89;0.116803;168537.187500;168689.468750
0;90;0.011067;168848.109375;169001.031250
0;91;1.025499;169055.562500;169148.687500
0;92;0.318881;170230.390625;170325.031250
0;93;0.380888;170679.250000;170730.968750
0;94;2.527719;171164.250000;171268.468750
0;95;0.575600;173807.328125;173954.406250
0;96;2.044691;174548.234375;174654.140625
0;97;0.416680;176709.859375;176813.000000
0;98;0.079695;177247.312500;177354.968750
0;99;0.338799;177456.328125;177560.640625
0;100;2.683230;177947.859375;178053.859375
0;101;3.102624;180767.093750;180892.656250
0;102;0.626500;184036.500000;184118.625000
0;103;0.325405;184755.609375;184893.984375
0;104;0.360760;185229.437500;185387.125000
0;105;0.050525;185752.609375;185877.609375
0;106;1.960544;185949.703125;186052.656250
0;107;3.341480;188068.953125;188164.953125
0;108;0.681240;191540.515625;191613.828125
0;109;2.350922;192317.640625;192467.390625
0;110;0.981370;194861.015625;194956.671875
0;111;1.028574;195956.750000;196081.937500
0;112;0.724291;197161.140625;197261.218750
0;113;0.811862;197993.593750;198144.796875
0;114;0.950671;198972.703125;199060.625000
0;115;2.301678;200033.375000;200136.250000
0;116;0.109325;202458.593750;202560.312500
0;117;0.063821;202676.218750;202763.750000
0;118;3.810130;202863.062500;202964.875000
0;119;0.569555;206797.250000;206950.843750
0;120;0.536369;207536.109375;207661.953125
0;121;1.188052;208213.437500;208314.890625
0;122;0.607033;209531.812500;209641.750000
0;123;0.155440;210297.593750;210401.406250
0;124;0.289884;210584.296875;210685.390625
