
HORA INICIO DE MEDICION:  Mon Oct 17 09:24:51 2022

HORA FIN DE MEDICION: Mon Oct 17 09:29:51 2022
 

Parametros del experimento: 
Nº Usuarios: 20; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.124854;61452.578125;61558.425781
0;1;0.004070;62720.457031;62811.945313
0;2;0.425541;62866.121094;63015.097656
0;3;2.830004;63474.433594;63624.527344
0;4;1.079058;66497.531250;66640.429688
0;5;4.015841;67774.023438;67921.875000
0;6;0.139319;71962.234375;72146.140625
0;7;3.404890;72297.304688;72477.820313
0;8;0.999709;75891.429688;75960.539063
0;9;1.996646;76975.085938;77163.468750
0;10;0.343973;79183.367188;79282.484375
0;11;0.068348;79641.757813;79741.765625
0;12;0.397240;79846.101563;79898.148438
0;13;0.991906;80298.156250;80430.335938
0;14;0.858117;81427.585938;81583.859375
0;15;0.115050;82482.187500;82588.578125
0;16;0.166125;82727.984375;82885.851563
0;17;1.100210;83080.664063;83157.921875
0;18;0.862446;84311.898438;84407.953125
0;19;0.667791;85302.132813;85411.679688
0;20;2.184368;86111.257813;86270.531250
0;21;0.711525;88471.742188;88570.773438
0;22;1.970566;89283.476563;89402.429688
0;23;0.870046;91395.562500;91469.632813
0;24;0.602496;92391.765625;92497.500000
0;25;0.176087;93160.218750;93337.898438
0;26;0.278020;93523.445313;93698.164063
0;27;1.815507;94001.687500;94155.398438
0;28;0.567697;95983.835938;96081.062500
0;29;1.419707;96665.890625;96752.867188
0;30;0.706281;98208.476563;98319.609375
0;31;0.714735;99069.132813;99197.546875
0;32;0.038465;99930.867188;100033.015625
0;33;0.240334;100081.531250;100183.203125
0;34;0.119906;100459.867188;100561.656250
0;35;0.047892;100710.679688;100811.328125
0;36;0.285001;100862.843750;100917.382813
0;37;0.253528;101217.234375;101366.023438
0;38;0.838301;101639.593750;101774.289063
0;39;1.249340;102642.171875;102779.265625
0;40;1.101580;104061.437500;104212.875000
0;41;1.656989;105325.632813;105427.500000
0;42;0.369556;107097.906250;107294.390625
0;43;0.845446;107698.750000;107839.546875
0;44;0.185066;108738.648438;108836.390625
0;45;1.067125;109043.546875;109182.742188
0;46;0.656635;110260.101563;110332.617188
0;47;0.255897;111001.437500;111103.632813
0;48;2.911693;111406.273438;111525.734375
0;49;0.111218;114442.398438;114550.445313
0;50;0.170271;114691.804688;114838.164063
0;51;0.281830;115046.101563;115141.296875
0;52;0.240626;115443.500000;115530.406250
0;53;0.671617;115801.992188;115910.148438
0;54;0.218253;116583.703125;116736.492188
0;55;3.049814;116988.554688;117113.750000
0;56;0.074366;120218.320313;120393.617188
0;57;0.637652;120489.921875;120623.375000
0;58;1.196687;121272.367188;121395.335938
0;59;0.976792;122632.437500;122763.304688
0;60;1.069785;123780.976563;123883.289063
0;61;1.826403;124959.593750;125058.859375
0;62;1.438290;126925.132813;127028.109375
0;63;4.066091;128491.796875;128595.875000
0;64;0.487924;132678.703125;132758.453125
0;65;3.273600;133275.156250;133396.500000
0;66;0.187134;136679.140625;136799.328125
0;67;0.753801;137009.250000;137116.718750
0;68;0.541355;137898.000000;138000.875000
0;69;0.096974;138577.390625;138664.765625
0;70;0.059347;138783.546875;138935.468750
0;71;3.375614;139007.593750;139082.875000
0;72;0.600756;142492.296875;142586.046875
0;73;0.314941;143203.562500;143357.328125
0;74;0.477355;143711.234375;143842.062500
0;75;3.224045;144351.828125;144441.812500
0;76;3.339382;147726.187500;147836.609375
0;77;0.922202;151181.187500;151284.062500
0;78;0.441121;152215.781250;152365.125000
0;79;0.244938;152837.125000;152945.859375
0;80;1.181841;153197.953125;153317.390625
0;81;3.641483;154521.687500;154643.656250
0;82;2.160181;158299.921875;158389.796875
0;83;1.218422;160587.921875;160700.843750
0;84;0.652983;161932.937500;162063.078125
0;85;2.319507;162744.406250;162853.781250
0;86;1.074947;165190.000000;165332.562500
0;87;1.654569;166432.218750;166538.203125
