
HORA INICIO DE MEDICION:  Mon Oct 17 10:18:45 2022

HORA FIN DE MEDICION: Mon Oct 17 10:23:45 2022
 

Parametros del experimento: 
Nº Usuarios: 450; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;3.922933;62712.949219;67738.257813
0;1;0.192759;71674.804688;76443.203125
0;2;2.180950;76641.062500;81707.937500
0;3;0.494956;83931.453125;88532.781250
0;4;0.418299;89047.562500;93670.453125
0;5;1.704483;94126.156250;97560.164063
0;6;1.699121;99304.109375;103799.054688
0;7;1.845286;105507.328125;109220.250000
0;8;0.519929;111104.757813;115220.109375
0;9;0.136123;115782.726563;120242.218750
0;10;0.029842;120384.000000;124158.367188
0;11;0.173175;124207.515625;128994.437500
0;12;0.025230;129199.664063;133010.703125
0;13;2.012429;133052.171875;137474.531250
0;14;0.114342;139490.812500;143037.984375
0;15;0.836145;143192.875000;147234.078125
0;16;0.087264;148103.125000;152711.359375
0;17;3.980232;152811.390625;157572.484375
0;18;0.008695;161558.250000;165187.046875
0;19;0.383691;165214.859375;168934.093750
0;20;0.069957;169350.812500;173399.062500
0;21;4.382090;173478.390625;178457.953125
0;22;1.535550;182866.250000;188121.546875
0;23;1.602347;189680.640625;193982.765625
0;24;0.729882;195605.687500;200668.718750
0;25;0.411202;201435.437500;205352.812500
0;26;0.981370;205785.531250;209459.500000
0;27;2.268448;210459.031250;215560.937500
0;28;4.792615;217852.437500;222639.812500
0;29;0.412911;227437.250000;231308.078125
0;30;0.196365;231756.875000;235922.562500
0;31;0.146429;236131.031250;240236.484375
0;32;0.263933;240392.609375;244470.250000
0;33;0.084542;244778.468750;249644.484375
0;34;0.351017;249736.468750;253851.640625
0;35;1.493910;254205.687500;258206.437500
0;36;1.124854;259739.453125;264355.125000
0;37;0.004070;265503.750000;270190.906250
0;38;0.425541;270228.750000;274403.031250
0;39;2.830004;274832.906250;279380.781250
0;40;1.079058;282224.375000;287636.812500
0;41;4.015841;288738.968750;293226.718750
0;42;0.139319;297257.593750;302579.000000
0;43;3.404890;302757.812500;306815.125000
0;44;0.999709;310248.281250;315457.937500
0;45;1.996646;316500.312500;320706.187500
0;46;0.343973;322718.406250;326362.656250
0;47;0.068348;326714.968750;331480.437500
0;48;0.397240;331557.687500;335184.625000
0;49;0.991906;335600.375000;340199.343750
0;50;0.858117;341223.437500;345430.781250
