Algorithm: MVA
Ni for Peticion 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticion	 52.629823999905696	 0.022	 1.1578561279979251	 52.629823999905696	 2.496839343670047E-5	 0.001312629914416848	 52.629823999905696	 0.06429324107295517	 2.7431313995092146	 52.629823999905696	 0.008684958319405	 0.33679782559828264
28.0	 Peticion	 76.74414170234006	 0.022	 1.6883711174514813	 76.74414170234006	 2.4988629736498223E-5	 0.001914060289369723	 76.74414170234006	 0.33024847508832655	 3.9999994077968184	 76.74414170234006	 0.012575231946562923	 0.49111431671899436
52.0	 Peticion	 76.74415306437253	 0.022	 1.6883713674161955	 76.74415306437253	 2.4988629750973332E-5	 0.0019140605727479023	 76.74415306437253	 0.6429757938502	 3.999999999999977	 76.74415306437253	 0.012575266295813264	 0.49111438942886754
75.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 0.9426728923471641	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
99.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 76.74415306437298	 2.4988629750973332E-5	 0.0019140605727479137	 76.74415306437298	 1.255400299474438	 4.000000000000001	 76.74415306437298	 0.012575266295816328	 0.4911143894288705
122.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 1.5550973979714091	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
146.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 76.74415306437298	 2.4988629750973332E-5	 0.0019140605727479137	 76.74415306437298	 1.8678248050986828	 4.000000000000001	 76.74415306437298	 0.012575266295816328	 0.4911143894288705
169.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 76.74415306437295	 2.4988629750973332E-5	 0.0019140605727479129	 76.74415306437295	 2.167521903595654	 3.999999999999999	 76.74415306437295	 0.012575266295816328	 0.4911143894288703
192.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 76.74415306437298	 2.4988629750973332E-5	 0.0019140605727479137	 76.74415306437298	 2.4672190020926243	 4.000000000000001	 76.74415306437298	 0.012575266295816328	 0.4911143894288705
216.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 76.74415306437295	 2.4988629750973332E-5	 0.0019140605727479129	 76.74415306437295	 2.779946409219899	 3.999999999999999	 76.74415306437295	 0.012575266295816328	 0.4911143894288703
239.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 76.74415306437298	 2.4988629750973332E-5	 0.0019140605727479137	 76.74415306437298	 3.0796435077168693	 4.000000000000001	 76.74415306437298	 0.012575266295816328	 0.4911143894288705
263.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 3.392370914844144	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
286.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 3.692068013341115	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
309.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 3.991765111838086	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
333.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 4.30449251896536	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
356.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 4.604189617462331	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
380.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 76.74415306437295	 2.4988629750973332E-5	 0.0019140605727479129	 76.74415306437295	 4.916917024589606	 3.999999999999999	 76.74415306437295	 0.012575266295816328	 0.4911143894288703
403.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 5.216614123086576	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
427.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 5.52934153021385	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
450.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 76.74415306437297	 2.4988629750973332E-5	 0.0019140605727479133	 76.74415306437297	 5.829038628710821	 4.0	 76.74415306437297	 0.012575266295816328	 0.49111438942887037
