Algorithm: MVA
Ni for Peticion 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticion	 52.629823999905696	 0.022	 1.1578561279979251	 105.25964799981139	 2.496839343670047E-5	 0.001312629914416848	 1157.8561395764866	 0.06429324107295517	 2.7431313995092146	 1105.2263155765809	 0.008684958319405	 0.33679782559828264
28.0	 Peticion	 76.74414170234006	 0.022	 1.6883711174514813	 153.48828340468012	 2.4988629736498223E-5	 0.001914060289369723	 1688.3711343351924	 0.33024847508832655	 3.9999994077968184	 1611.6269926328525	 0.012575231946562923	 0.49111431671899436
52.0	 Peticion	 76.74415306437253	 0.022	 1.6883713674161955	 153.48830612874505	 2.4988629750973332E-5	 0.0019140605727479023	 1688.3713842999093	 0.6429757938502	 3.999999999999977	 1611.6272312355368	 0.012575266295813264	 0.49111438942886754
75.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 0.9426728923471641	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
99.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 153.48830612874596	 2.4988629750973332E-5	 0.0019140605727479137	 1688.3713842999193	 1.255400299474438	 4.000000000000001	 1611.6272312355463	 0.012575266295816328	 0.4911143894288705
122.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 1.5550973979714091	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
146.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 153.48830612874596	 2.4988629750973332E-5	 0.0019140605727479137	 1688.3713842999193	 1.8678248050986828	 4.000000000000001	 1611.6272312355463	 0.012575266295816328	 0.4911143894288705
169.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 153.4883061287459	 2.4988629750973332E-5	 0.0019140605727479129	 1688.3713842999186	 2.167521903595654	 3.999999999999999	 1611.6272312355457	 0.012575266295816328	 0.4911143894288703
192.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 153.48830612874596	 2.4988629750973332E-5	 0.0019140605727479137	 1688.3713842999193	 2.4672190020926243	 4.000000000000001	 1611.6272312355463	 0.012575266295816328	 0.4911143894288705
216.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 153.4883061287459	 2.4988629750973332E-5	 0.0019140605727479129	 1688.3713842999186	 2.779946409219899	 3.999999999999999	 1611.6272312355457	 0.012575266295816328	 0.4911143894288703
239.0	 Peticion	 76.74415306437298	 0.022	 1.6883713674162055	 153.48830612874596	 2.4988629750973332E-5	 0.0019140605727479137	 1688.3713842999193	 3.0796435077168693	 4.000000000000001	 1611.6272312355463	 0.012575266295816328	 0.4911143894288705
263.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 3.392370914844144	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
286.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 3.692068013341115	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
309.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 3.991765111838086	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
333.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 4.30449251896536	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
356.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 4.604189617462331	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
380.0	 Peticion	 76.74415306437295	 0.022	 1.6883713674162049	 153.4883061287459	 2.4988629750973332E-5	 0.0019140605727479129	 1688.3713842999186	 4.916917024589606	 3.999999999999999	 1611.6272312355457	 0.012575266295816328	 0.4911143894288703
403.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 5.216614123086576	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
427.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 5.52934153021385	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
450.0	 Peticion	 76.74415306437297	 0.022	 1.688371367416205	 153.48830612874593	 2.4988629750973332E-5	 0.0019140605727479133	 1688.3713842999189	 5.829038628710821	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
