"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\GI-AN-B3_08\Disco físico(_Total)\% de tiempo inactivo"	"\\GI-AN-B3_08\Disco físico(_Total)\Longitud promedio de cola de lectura de disco"	"\\GI-AN-B3_08\Disco físico(_Total)\Transferencias de disco/s"	"\\GI-AN-B3_08\Disco físico(_Total)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_08\Disco físico(_Total)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Total de bytes/s"	"\\GI-AN-B3_08\Memoria\Bytes disponibles"	"\\GI-AN-B3_08\Memoria\Bytes de caché"	"\\GI-AN-B3_08\Memoria\Páginas/s"	"\\GI-AN-B3_08\Memoria\Errores de página/s"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de procesador"
"10/03/2022 09:20:10.614"	" "	" "	" "	" "	" "	"1000000000"	"100000"	" "	" "	"16084373504"	"27648000"	" "	" "	" "
"10/03/2022 09:20:11.615"	"98.643981198548104"	"0"	"4.0488862997693822"	"0.0013500135217893289"	"5120"	"1000000000"	"100000"	"42.513306147578518"	"0"	"16085651456"	"25833472"	"0"	"211.55430916295023"	"1.2629846440689207"
"10/03/2022 09:20:12.617"	"99.07729436010348"	"0.022552720476792451"	"52.888748708282492"	"0.00043018895283461028"	"15186.113207547171"	"1000000000"	"100000"	"59.874055141451876"	"0"	"16077950976"	"25792512"	"196.58648104776699"	"3729.1557343934278"	"9.1747759995944538"
"10/03/2022 09:20:13.632"	"99.630180101847031"	"0"	"4.9265270191675521"	"0.002119985589590115"	"11468.799999999999"	"1000000000"	"100000"	"100.50115119101805"	"0"	"16077967360"	"25776128"	"0"	"0"	"0.70357903096053276"
"10/03/2022 09:20:14.631"	"99.94573345015354"	"0"	"2.0016573503584718"	"0.0026000973312190366"	"4096"	"1000000000"	"100000"	"102.08452486828207"	"0"	"16077967360"	"25776128"	"0"	"0"	"0"
"10/03/2022 09:20:15.616"	"90.698031435143193"	"0.15443150866071204"	"574.20932088910718"	"0.00066984118961256926"	"52936.465608465609"	"1000000000"	"100000"	"127681.06306711969"	"0"	"16057425920"	"31985664"	"5191.1763295900591"	"12108.018766402409"	"39.278323272086681"
"10/03/2022 09:20:16.616"	"75.869978081228808"	"0.57630993298410182"	"1173.3519598904347"	"0.0011556410390488893"	"78951.27521367521"	"1000000000"	"100000"	"81007.417018897235"	"0"	"16054374400"	"54345728"	"15802.142591447504"	"16065.896066192106"	"61.340869781146182"
"10/03/2022 09:20:17.616"	"99.859464826460808"	"0"	"10.99883914136878"	"0.00060908566835858428"	"5585.454545454545"	"1000000000"	"100000"	"41.995567630680796"	"0"	"16082137088"	"26583040"	"0"	"0"	"0.40113767997476124"
"10/03/2022 09:20:18.632"	"90.250441281822148"	"0.23288848186744066"	"427.03632328426903"	"0.0012082949601468782"	"73746.875576036866"	"1000000000"	"100000"	"49697.58206553424"	"0"	"16069746688"	"37670912"	"5453.076736500966"	"7742.739234847726"	"39.223737884752211"
"10/03/2022 09:20:19.616"	"85.004326652678216"	"0.22224946730723541"	"402.38638039658406"	"0.0016272037183137659"	"74336.72544080604"	"1000000000"	"100000"	"54365.744765017575"	"0"	"16065159168"	"45449216"	"5027.2958356852823"	"6352.0288310967062"	"41.672841673766023"
"10/03/2022 09:20:20.616"	"73.827255520895861"	"0.54454287745215524"	"1114.5636280991869"	"0.0012345570241806671"	"75187.452103849602"	"1000000000"	"100000"	"164340.76056216299"	"0"	"16056528896"	"48541696"	"14305.728501394844"	"19319.768099602912"	"91.01657236155927"
"10/03/2022 09:20:21.616"	"68.962648581661185"	"0.67832769026821738"	"1455.2829074170327"	"0.0010554257339062954"	"76627.692307692312"	"1000000000"	"100000"	"185862.41604795805"	"0"	"16071168000"	"40509440"	"18876.698481784395"	"23777.283711911943"	"75.393243080287647"
"10/03/2022 09:20:22.616"	"70.917539474847246"	"0.3638617217468722"	"1196.9265385995657"	"0.00093017606643259207"	"70627.674769488687"	"1000000000"	"100000"	"164234.77507342375"	"0"	"16074534912"	"35147776"	"13759.137091663408"	"20677.833998773724"	"87.891903771723207"
"10/03/2022 09:20:23.616"	"74.557134222339542"	"0.51684547280261928"	"1071.5268129489325"	"0.0013151487036252288"	"72429.918215613376"	"1000000000"	"100000"	"181647.69502115517"	"0"	"16045867008"	"57217024"	"12568.531511364756"	"20166.811792777724"	"91.797735338921754"
"10/03/2022 09:20:24.617"	"68.907702674286796"	"0.57883870098156609"	"1538.8210010555467"	"0.0010101881416689567"	"72810.985074626864"	"1000000000"	"100000"	"221444.43059836206"	"0"	"16049324032"	"57102336"	"18529.76151563058"	"25909.311936007278"	"85.938989061058436"
"10/03/2022 09:20:25.617"	"71.612444887064413"	"0.48664865856652123"	"1240.1672062334426"	"0.0010265639603930514"	"69542.160844841594"	"1000000000"	"100000"	"208894.12689886623"	"0"	"16056119296"	"42991616"	"13646.876503361667"	"23623.623735961002"	"93.750659305443278"
