Tiempo	 Fiabilidad (Procesadores)	 Tasa de fallos (Procesadores)	 MTTF (Procesadores)	 Fiabilidad (CPU)	 Tasa de fallos (CPU)	 MTTF (CPU)	 Fiabilidad (Módulo memoria)	 Tasa de fallos (Módulo memoria)	 MTTF (Módulo memoria)	 Fiabilidad (Memoria)	 Tasa de fallos (Memoria)	 MTTF (Memoria)	 Fiabilidad (Multiprocesador)	 Tasa de fallos (Multiprocesador)	 MTTF (Multiprocesador)	 
5.0	 0.9999520318454258	 9.266666666666667E-4	 1079.136690647482	 0.993074095396683	 0.00139	 719.4244604316547	 0.9625204175559966	 0.00764	 130.89005235602093	 0.9999473517146743	 0.004167272727272727	 239.9650959860384	 0.9998993860855412	 0.005093939393939394	 196.31171921475314	 
6.0	 0.9999310216816064	 9.266666666666667E-4	 1079.136690647482	 0.9916946813189628	 0.00139	 719.4244604316547	 0.9551947811298542	 0.00764	 130.89005235602093	 0.9999100531808959	 0.004167272727272727	 239.9650959860384	 0.9998410810668826	 0.005093939393939394	 196.31171921475314	 
7.0	 0.9999062430606543	 9.266666666666667E-4	 1079.136690647482	 0.9903171832948449	 0.00139	 719.4244604316547	 0.9479248993122057	 0.00764	 130.89005235602093	 0.9998587819029393	 0.004167272727272727	 239.9650959860384	 0.9997650382037702	 0.005093939393939394	 196.31171921475314	 
8.0	 0.9998777117598668	 9.266666666666667E-4	 1079.136690647482	 0.9889415986628648	 0.00139	 719.4244604316547	 0.940710347760893	 0.00764	 130.89005235602093	 0.9997915812873454	 0.004167272727272727	 239.9650959860384	 0.9996693185343698	 0.005093939393939394	 196.31171921475314	 
9.0	 0.9998454435053576	 9.266666666666667E-4	 1079.136690647482	 0.9875679247652552	 0.00139	 719.4244604316547	 0.9335507053633796	 0.00764	 130.89005235602093	 0.9997065925575888	 0.004167272727272727	 239.9650959860384	 0.9995520814109722	 0.005093939393939394	 196.31171921475314	 
10.0	 0.9998094539722094	 9.266666666666667E-4	 1079.136690647482	 0.9861961589479402	 0.00139	 719.4244604316547	 0.92644555421217	 0.00764	 130.89005235602093	 0.9996020515819288	 0.004167272727272727	 239.9650959860384	 0.9994115813816286	 0.005093939393939394	 196.31171921475314	 
11.0	 0.9997697587846258	 9.266666666666667E-4	 1079.136690647482	 0.9848262985605308	 0.00139	 719.4244604316547	 0.9193944795804161	 0.00764	 130.89005235602093	 0.999476285788732	 0.004167272727272727	 239.9650959860384	 0.9992461651539544	 0.005093939393939394	 196.31171921475314	 
12.0	 0.9997263735160826	 9.266666666666667E-4	 1079.136690647482	 0.9834583409563191	 0.00139	 719.4244604316547	 0.9123970698977102	 0.00764	 130.89005235602093	 0.9993277111670384	 0.004167272727272727	 239.9650959860384	 0.9990542686391506	 0.005093939393939394	 196.31171921475314	 
13.0	 0.9996793136894789	 9.266666666666667E-4	 1079.136690647482	 0.9820922834922741	 0.00139	 719.4244604316547	 0.9054529167260614	 0.00764	 130.89005235602093	 0.9991548293502017	 0.004167272727272727	 239.9650959860384	 0.9988344140743382	 0.005093939393939394	 196.31171921475314	 
14.0	 0.9996285947772878	 9.266666666666667E-4	 1079.136690647482	 0.9807281235290354	 0.00139	 719.4244604316547	 0.8985616147360552	 0.00764	 130.89005235602093	 0.9989562247804811	 0.004167272727272727	 239.9650959860384	 0.9985852072213368	 0.005093939393939394	 196.31171921475314	 
15.0	 0.9995742322017067	 9.266666666666667E-4	 1079.136690647482	 0.9793658584309092	 0.00139	 719.4244604316547	 0.8917227616831944	 0.00764	 130.89005235602093	 0.9987305619525182	 0.004167272727272727	 239.9650959860384	 0.9983053346400674	 0.005093939393939394	 196.31171921475314	 
