Tiempo	 Fiabilidad (S.O)	 Fiabilidad (Computador)	 Fiabilidad (Cluster)	 
0.0	 1.0	 1.0	 1.0	 
100.0	 0.9780228724846005	 0.9763319568573791	 0.9991969867666897	 
200.0	 0.9565287391030293	 0.9532222140269322	 0.9973191010310913	 
300.0	 0.9355069850316178	 0.9306576509709834	 0.9944374946802854	 
400.0	 0.914947228730031	 0.9086254542083892	 0.9906200478882387	 
500.0	 0.8948393168143698	 0.8871131101624291	 0.9859315054618585	 
600.0	 0.8751733190429475	 0.8661083981743917	 0.9804336003883871	 
700.0	 0.8559395234122652	 0.845599383679046	 0.9741851674398748	 
800.0	 0.8371284313607636	 0.8255744115382644	 0.9672422490719143	 
900.0	 0.8187307530779818	 0.8060220995291585	 0.9596581953511805	 
1000.0	 0.8007374029168081	 0.7869313319831661	 0.9514837592400606	 
1100.0	 0.7831394949065555	 0.768291253572614	 0.9427671882402368	 
1200.0	 0.7659283383646487	 0.7500912632413549	 0.9335543131366402	 
1300.0	 0.7490954336047507	 0.73232100827616	 0.923888634377063	 
1400.0	 0.7326324677392158	 0.7149703785156223	 0.9138114064611159	 
1500.0	 0.7165313105737893	 0.6980295006933993	 0.9033617205870222	 
