 (PDH-CSV 4.0) (Hora de verano romance)(-120) ; \\DESKTOP-OC6VVU5\Disco físico(_Total)\% de tiempo de disco ; \\DESKTOP-OC6VVU5\Disco físico(_Total)\Longitud promedio de la cola de disco ; \\DESKTOP-OC6VVU5\Disco físico(_Total)\Promedio de bytes de disco/transferencia ; \\DESKTOP-OC6VVU5\Disco físico(_Total)\Promedio de segundos de disco/transferencia ; \\DESKTOP-OC6VVU5\Disco físico(_Total)\Transferencias de disco/s ; \\DESKTOP-OC6VVU5\Interfaz de red(Intel[R] Ethernet Connection [7] I219-V)\Ancho de banda actual ; \\DESKTOP-OC6VVU5\Interfaz de red(Intel[R] Ethernet Connection [7] I219-V)\Total de bytes/s ; \\DESKTOP-OC6VVU5\Memoria\Bytes de caché ; \\DESKTOP-OC6VVU5\Memoria\Bytes disponibles ; \\DESKTOP-OC6VVU5\Memoria\Entrada de páginas/s ; \\DESKTOP-OC6VVU5\Memoria\Páginas/s ; \\DESKTOP-OC6VVU5\Procesador(_Total)\% de tiempo de procesador ; \\DESKTOP-OC6VVU5\Sistema\Cambios de contexto/s ; \\DESKTOP-OC6VVU5\Sistema\Llamadas al sistema/s 
 09/19/2022 22:44:32,813 ;   ;   ;   ;   ;   ;1000000000;   ;657743872;26370465792;   ;   ;   ;   ;   
 09/19/2022 22:44:33,823 ;0,003396216;0,000170174;4096;8,57E-05;1,98627563;1000000000;339,6531327;656179200;26363125760;0;0;6,144733174;10496,47357;104861,4493
 09/19/2022 22:44:34,821 ;0,004405957;0,000219946;4096;0,0001098;2,002713075;1000000000;171,2319679;652574720;26364743680;0;0;8,188819201;7894,694943;62100,12704
 09/19/2022 22:44:35,822 ;0,130132828;0,006508906;12451,55556;9,05E-05;71,95140402;1000000000;113,9230564;651591680;26366488576;0,999325056;0,999325056;8,905875025;11278,38258;68014,0633
 09/19/2022 22:44:36,826 ;1,068926707;0,053416897;7948,244716;5,96E-05;896,051989;1000000000;257,1539635;660619264;26352984064;157,4818846;157,4818846;19,82498719;73591,88271;135518,1453
 09/19/2022 22:44:37,818 ;2,627745644;0,131387383;7864,737378;6,04E-05;2176,180071;1000000000;6224,137073;683712512;26328289280;85,67638076;85,67638076;51,43431654;175800,8776;292133,2754
 09/19/2022 22:44:38,810 ;5,462236802;0,273111739;7854,886613;9,57E-05;2853,95752;1000000000;114,9244639;672972800;26341310464;146,1758532;146,1758532;55,89718631;188887,4294;292090,606
 09/19/2022 22:44:39,817 ;4,857516682;0,242875636;8162,648575;8,30E-05;2926,206201;1000000000;0;661131264;26350501888;124,0759075;124,0759075;61,74526581;196597,7791;299287,9631
 09/19/2022 22:44:40,809 ;4,895220776;0,244786115;8310,028904;8,56E-05;2859,296796;1000000000;409,1908704;647811072;26363318272;183,4303902;183,4303902;55,10964059;195120,55;300237,2501
 09/19/2022 22:44:41,817 ;14,03557551;0,701709021;8320,533778;0,000294818;2380,706311;1000000000;543,0551928;676835328;26338471936;157,8533376;157,8533376;53,73245361;188248,5438;285410,7478
 09/19/2022 22:44:42,824 ;3,114442306;0,155722215;8076,765762;6,00E-05;2597,421417;1000000000;0;667164672;26343968768;158,8029907;158,8029907;51,66459586;178510,4418;279812,8546
 09/19/2022 22:44:43,816 ;4,823817161;0,241190556;7909,288515;8,38E-05;2878,916753;1000000000;439,4984959;656261120;26356604928;100,8024073;100,8024073;59,5724378;193696,8658;297708,8218
 09/19/2022 22:44:44,824 ;3,841199073;0,192060053;7960,887533;7,38E-05;2603,538549;1000000000;282,8854314;642494464;26373087232;116,1319139;116,1319139;53,99080236;190153,6018;292925,3828
 09/19/2022 22:44:45,831 ;4,047396432;0,202369822;8084,446389;7,44E-05;2721,541897;1000000000;106,2016714;673517568;26340958208;75,43296287;75,43296287;57,35120129;193761,4756;319828,8148
 09/19/2022 22:44:46,808 ;3,556339672;0,177816984;8691,895087;6,41E-05;2772,042938;1000000000;0;660803584;26349531136;74,75402087;74,75402087;55,99711172;196865,226;357258,682
 09/19/2022 22:44:47,815 ;14,80853268;0,740426535;8318,050226;0,000307114;2411,087548;1000000000;113,1593168;649519104;26364342272;174,7021031;174,7021031;63,55462313;180925,8656;292203,1643
 09/19/2022 22:44:48,823 ;3,172259702;0,158692078;7977,091042;5,85E-05;2713,679166;1000000000;127,0021694;679624704;26330365952;67,46990247;67,46990247;55,5417855;196132,0299;297572,036
