"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\DESKTOP-OC6VVU5\Disco físico(_Total)\% de tiempo de disco","\\DESKTOP-OC6VVU5\Disco físico(_Total)\Longitud promedio de la cola de disco","\\DESKTOP-OC6VVU5\Disco físico(_Total)\Promedio de bytes de disco/transferencia","\\DESKTOP-OC6VVU5\Disco físico(_Total)\Promedio de segundos de disco/transferencia","\\DESKTOP-OC6VVU5\Disco físico(_Total)\Transferencias de disco/s","\\DESKTOP-OC6VVU5\Interfaz de red(Intel[R] Ethernet Connection [7] I219-V)\Ancho de banda actual","\\DESKTOP-OC6VVU5\Interfaz de red(Intel[R] Ethernet Connection [7] I219-V)\Total de bytes/s","\\DESKTOP-OC6VVU5\Memoria\Bytes de caché","\\DESKTOP-OC6VVU5\Memoria\Bytes disponibles","\\DESKTOP-OC6VVU5\Memoria\Entrada de páginas/s","\\DESKTOP-OC6VVU5\Memoria\Páginas/s","\\DESKTOP-OC6VVU5\Procesador(_Total)\% de tiempo de procesador","\\DESKTOP-OC6VVU5\Sistema\Cambios de contexto/s","\\DESKTOP-OC6VVU5\Sistema\Llamadas al sistema/s"
"09/19/2022 22:49:44.114"," "," "," "," "," ","1000000000"," ","463171584","26531115008"," "," "," "," "," "
"09/19/2022 22:49:45.109","0.011365794701302783451","0.00056839049565646281113","13926.399999999999636","0.00011281999999999999386","5.0370738711061155968","1000000000","114.84528426121943312","460365824","26523680768","0","0","10.260098352413194789","10451.928282545190086","103503.80873303690169"
"09/19/2022 22:49:46.124","0.0029229510113410496486","0.0001463347721769608261","4096","7.4250000000000002305e-005","1.9711265441558958322","1000000000","105.45527011234042902","460365824","26526683136","0","0","7.6169367569691832642","12130.312752735382674","88043.323784539315966"
"09/19/2022 22:49:47.124","0.5439313446671892871","0.027161303641751774474","6074.1818181818180165","0.0012343227272727274376","22.004407482818809427","1000000000","0","459669504","26524700672","0","0","5.9681031147514111979","9221.8471359813374875","49785.972130217684025"
"09/19/2022 22:49:48.124","0.053781839338905387815","0.0026886919532648017282","22869.333333333332121","0.00022405000000000002496","11.997966344704574126","1000000000","113.98068027469344088","459120640","26524975104","0.9998305287253811402","0.9998305287253811402","4.944669107683486331","9448.3984964548508287","59396.932219988717407"
"09/19/2022 22:49:49.131","2.0826361588058484031","0.10413190724111530405","8144.1351025331723577","6.3247949336550058036e-005","1646.6627271237528021","1000000000","0","466554880","26503528448","229.42044026874964402","229.42044026874964402","44.401886318431913026","125940.89692467362329","207658.27279182826169"
"09/19/2022 22:49:50.107","3.336296640989559581","0.1668150368628167346","7789.6850519584331778","6.510579536370903809e-005","2562.2689208761730697","1000000000","0","495288320","26475331584","79.878887221559352838","79.878887221559352838","57.863915668517392987","194411.89834940520814","299440.34598618320888"
"09/19/2022 22:49:51.115","5.3036389949902762453","0.2651817512384854747","7968.9986431478964732","9.0627815468113972195e-005","2926.0784057994319483","1000000000","452.60914282379275164","487161856","26498383872","76.4274210470000952","76.4274210470000952","62.262229693736195202","194387.68633154136478","328756.02560735482257"
"09/19/2022 22:49:52.107","3.1574486419006122517","0.15787263370787288363","8172.6188901139285008","5.7555935317897826027e-005","2742.7118555912315969","1000000000","19269.541544776762748","472350720","26508103680","89.710163597067108299","89.710163597067108299","57.997321170164958914","200182.68618034082465","326284.93681682937313"
"09/19/2022 22:49:53.114","4.8316738952875120106","0.24158339699753755836","8420.9105137801980163","8.2815651582170813185e-005","2917.2304594196266407","1000000000","929.06693093459364263","461807616","26523983872","158.81485998881942123","158.81485998881942123","56.317197910828163288","191901.95088174007833","297445.34386593481759"
"09/19/2022 22:49:54.122","3.4024635647425691687","0.17012327749277070255","8573.0485987938991457","6.0801383469315359222e-005","2798.100706016690765","1000000000","622.35159371141014617","492756992","26494189568","119.11035286342777795","119.11035286342777795","56.317174977970211103","193893.78790873088292","295973.34548523620469"
"09/19/2022 22:49:55.114","8.3848128898768088391","0.41924094690462898605","8373.1914550584442622","0.00016763353486497380293","2500.5727329526403082","1000000000","0","477675520","26505748480","97.765237846193514315","97.765237846193514315","62.461164154523451941","197858.69939779635752","296004.91930487501668"
"09/19/2022 22:49:56.123","10.109096229514882737","0.50580481332529481087","8027.8871473354229238","0.00020007684169278996933","2528.3352873772068961","1000000000","0","468701184","26514583552","158.51631895781861203","158.51631895781861203","54.854723149494098777","164779.69501063943608","263005.32277984521352"
"09/19/2022 22:49:57.129","3.7543786072473523951","0.1875882832012215895","7758.8145873320536339","7.2406909788867571728e-005","2590.7681334127241826","1000000000","240.67788417884040086","455122944","26530365440","86.524693899004603281","86.524693899004603281","57.266281180137369233","196362.32285187780508","297264.03945207793731"
"09/19/2022 22:49:58.121","3.2257989724185263114","0.16128994862092629892","7832.6572237960335769","5.6657046742209627279e-005","2846.8433557710422974","1000000000","107.86552374911526897","488042496","26498605056","123.99494786113251621","123.99494786113251621","56.684692890881358096","199142.94288802781375","305533.63241990050301"
"09/19/2022 22:49:59.113","5.3165396590021885004","0.26582708375651020738","7958.0952380952385283","9.8102901785714289045e-005","2709.6036700613994981","1000000000","0","473923584","26512670720","45.361668583617181127","45.361668583617181127","57.997329638442728594","193814.28126452202559","293005.12990069825901"
"09/19/2022 22:50:00.105","3.8681769629745814676","0.19340884814872907893","7991.2537005163512731","6.6045266781411356345e-005","2928.5334015616090255","1000000000","114.92351386506830124","462311424","26526552064","103.83440287808802793","103.83440287808802793","60.884984227816218549","198502.14337393862661","304106.77160594821908"
